江苏省发展和改革委员会,http://www.jsdpc.gov.cn/
江苏省经济和信息化委员会,http://www.jseic.gov.cn/
江苏省科学技术厅,http://www.jstd.gov.cn/
江苏省教育厅,http://www.jsjyt.gov.cn/
江苏省民族事务委员会,http://www.jsmzzj.gov.cn/
江苏省监察厅,http://www.jssjw.gov.cn/
江苏省民政厅,http://www.jsmz.gov.cn/
南京市工业遗产类历史建筑和历史风貌区保...,http://www.js.gov.cn/zwfw/bmcx/201703/P020170327385230536835.doc
江苏省公安厅,http://www.jsga.gov.cn/
江苏省财政厅,http://www.jscz.gov.cn/
江苏省人力资源和社会保障厅,http://www.jshrss.gov.cn/
江苏省国土资源厅,http://www.jsmlr.gov.cn/
江苏省住房和城乡建设厅,http://www.jscin.gov.cn/
江苏省交通运输厅,http://www.jscd.gov.cn/
江苏省水利厅,http://www.jswater.gov.cn/
江苏省农业委员会,http://www.jsagri.gov.cn/
江苏省商务厅,http://www.jiangsudoc.gov.cn/
江苏省文化厅,http://www.jscnt.gov.cn/
江苏省卫生和计划生育委员会,http://www.jswst.gov.cn/
江苏省审计厅,http://www.jssj.gov.cn/
江苏省环境保护厅,http://www.jshb.gov.cn/
江苏省人民政府外事办公室,http://www.jsfao.gov.cn/
江苏省国资委,http://www.jssasac.gov.cn/
